booking_id,date,slot_time,customer_id,crew_id,zone,area,lat,lng,slot_type,items,vehicle_size,list_price,total_price,is_weekend,status
B000029,2024-01-01,10:30,U00396,C03,north,Cyber Hub,28.48364,77.08201,exterior,exterior|tyre_dressing,suv,349.0,448.0,0,no_show
B000030,2024-01-01,09:30,U02535,C05,south,Sohna Road,28.40506,77.04066,subscription,subscription,suv,299.0,299.0,0,completed
B000031,2024-01-01,12:00,U02021,C07,north,Golf Course Road,28.43334,77.10814,subscription,subscription|interior_clean|engine_bay,hatchback,299.0,899.0,0,completed
B000032,2024-01-01,15:00,U01560,C06,north,Golf Course Road,28.43535,77.08922,subscription,subscription|interior_clean|wax_polish,sedan,299.0,949.0,0,completed
B000033,2024-01-02,10:30,U01372,C08,north,Cyber Hub,28.49312,77.10194,subscription,subscription|interior_clean|tyre_dressing,hatchback,299.0,648.0,0,completed
B000034,2024-01-02,16:30,U00598,C10,west,Palam Vihar,28.52053,77.00673,subscription,subscription,suv,299.0,299.0,0,completed
B000035,2024-01-02,09:00,U02414,C03,north,DLF Phase 3,28.49635,77.0828,interior,interior,suv,399.0,399.0,0,completed
B000036,2024-01-02,11:30,U01729,C03,north,Udyog Vihar,28.49132,77.09433,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,0,completed
B000037,2024-01-02,08:00,U02472,C08,north,Golf Course Road,28.4408,77.10714,exterior,exterior,suv,349.0,349.0,0,completed
B000038,2024-01-02,08:00,U01296,C03,north,Udyog Vihar,28.49665,77.08931,subscription,subscription|tyre_dressing|engine_bay,hatchback,299.0,748.0,0,completed
B000039,2024-01-02,10:00,U02592,C05,east,Sector 56,28.4184,77.0924,subscription,subscription,hatchback,299.0,299.0,0,completed
B000040,2024-01-02,09:30,U01023,C06,north,Udyog Vihar,28.51912,77.08977,subscription,subscription,hatchback,299.0,299.0,0,completed
B000041,2024-01-02,10:00,U02115,C03,north,DLF Phase 3,28.49259,77.10573,subscription,subscription|interior_clean,sedan,299.0,549.0,0,completed
B000042,2024-01-02,14:00,U00825,C10,north,Golf Course Road,28.45233,77.10336,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000043,2024-01-02,17:30,U01774,C03,north,Golf Course Road,28.45068,77.09722,exterior,exterior,hatchback,349.0,349.0,0,completed
B000044,2024-01-02,08:00,U00779,C01,west,New Gurgaon,28.40663,76.985,subscription,subscription,sedan,299.0,299.0,0,completed
B000045,2024-01-02,15:30,U01993,C04,west,Sector 14,28.45849,77.02837,subscription,subscription,sedan,299.0,299.0,0,completed
B000046,2024-01-02,08:00,U01221,C08,west,New Gurgaon,28.40457,76.98914,interior,interior|wax_polish,hatchback,399.0,799.0,0,completed
B000047,2024-01-02,15:30,U01882,C03,south,Manesar,28.35782,76.94541,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,0,completed
B000048,2024-01-02,12:30,U01907,C09,north,Cyber Hub,28.47666,77.07605,subscription,subscription|tyre_dressing|engine_bay,suv,299.0,748.0,0,completed
B000049,2024-01-02,08:30,U02508,C02,north,Udyog Vihar,28.51478,77.08851,subscription,subscription,suv,299.0,299.0,0,completed
B000050,2024-01-02,16:00,U01530,C02,north,Cyber Hub,28.49177,77.09265,subscription,subscription,sedan,299.0,299.0,0,completed
B000051,2024-01-02,08:30,U00394,C09,west,New Gurgaon,28.42738,76.96954,subscription,subscription|interior_clean|tyre_dressing,hatchback,299.0,648.0,0,completed
B000052,2024-01-02,08:00,U00528,C09,south,Manesar,28.36535,76.9342,subscription,subscription|interior_clean,hatchback,299.0,549.0,0,completed
B000053,2024-01-02,09:00,U01720,C04,south,Manesar,28.35046,76.93361,subscription,subscription|interior_clean,hatchback,299.0,549.0,0,completed
B000054,2024-01-02,10:00,U00433,C09,north,DLF Phase 3,28.48005,77.06946,subscription,subscription,hatchback,299.0,299.0,0,completed
B000055,2024-01-02,11:30,U01027,C09,north,Cyber Hub,28.49547,77.07394,exterior,exterior|interior_clean|wax_polish|tyre_dressing,hatchback,349.0,1098.0,0,completed
B000056,2024-01-02,16:30,U01597,C03,north,DLF Phase 3,28.50993,77.08833,exterior,exterior|interior_clean|tyre_dressing,sedan,349.0,698.0,0,completed
B000057,2024-01-02,12:00,U01687,C03,north,Cyber Hub,28.50637,77.0795,exterior,exterior|tyre_dressing|pet_hair,sedan,349.0,598.0,0,completed
B000058,2024-01-02,13:00,U02413,C06,north,Golf Course Road,28.441,77.09762,subscription,subscription,suv,299.0,299.0,0,completed
B000059,2024-01-02,10:00,U01870,C06,north,Golf Course Road,28.44022,77.10943,subscription,subscription,hatchback,299.0,299.0,0,completed
B000060,2024-01-02,10:00,U00054,C07,north,Cyber Hub,28.48828,77.08323,exterior,exterior,hatchback,349.0,349.0,0,completed
B000061,2024-01-02,09:30,U00203,C10,north,Cyber Hub,28.47527,77.0916,full_detail,full_detail|tyre_dressing,sedan,999.0,1098.0,0,completed
B000062,2024-01-02,15:00,U02345,C04,south,Manesar,28.35275,76.94369,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000063,2024-01-02,15:30,U00302,C03,east,Sector 56,28.40785,77.11042,interior,interior|tyre_dressing,suv,399.0,498.0,0,completed
B000064,2024-01-02,17:00,U01510,C04,south,Sohna Road,28.40875,77.0208,subscription,subscription|interior_clean|wax_polish,sedan,299.0,949.0,0,completed
B000065,2024-01-02,10:00,U00056,C08,west,Sector 14,28.46563,77.02807,exterior_plus,exterior_plus|wax_polish,hatchback,499.0,899.0,0,completed
B000066,2024-01-03,13:00,U00026,C04,north,Golf Course Road,28.42525,77.10076,subscription,subscription|interior_clean,sedan,299.0,549.0,0,completed
B000067,2024-01-03,15:30,U00736,C08,north,Udyog Vihar,28.51684,77.12201,interior,interior,sedan,399.0,399.0,0,completed
B000068,2024-01-03,16:00,U01441,C08,west,Palam Vihar,28.49712,77.02213,subscription,subscription|interior_clean,suv,299.0,549.0,0,completed
B000069,2024-01-03,11:00,U00728,C06,north,DLF Phase 3,28.48804,77.09515,subscription,subscription|interior_clean,sedan,299.0,549.0,0,completed
B000070,2024-01-03,09:30,U01305,C03,west,Palam Vihar,28.51498,77.03318,subscription,subscription|interior_clean,sedan,299.0,549.0,0,completed
B000071,2024-01-03,16:00,U01168,C03,south,Sohna Road,28.42057,77.01695,exterior_plus,exterior_plus|tyre_dressing,hatchback,499.0,598.0,0,completed
B000072,2024-01-03,18:00,U02234,C06,north,Cyber Hub,28.49165,77.08485,interior,interior|interior_clean|tyre_dressing,hatchback,399.0,748.0,0,completed
B000073,2024-01-03,08:00,U02282,C05,north,Cyber Hub,28.48049,77.0941,interior,interior|pet_hair,sedan,399.0,549.0,0,completed
B000074,2024-01-03,13:30,U00792,C09,north,Udyog Vihar,28.51695,77.10677,subscription,subscription,hatchback,299.0,299.0,0,completed
B000075,2024-01-03,12:00,U02154,C04,north,DLF Phase 3,28.49186,77.12807,subscription,subscription|interior_clean|tyre_dressing,hatchback,299.0,648.0,0,completed
B000076,2024-01-03,09:00,U01739,C04,west,Palam Vihar,28.5149,77.03219,exterior,exterior,hatchback,349.0,349.0,0,completed
B000077,2024-01-03,16:00,U02305,C01,south,Sohna Road,28.40301,77.00859,full_detail,full_detail|tyre_dressing,suv,999.0,1098.0,0,completed
B000078,2024-01-03,14:30,U01670,C01,south,Sohna Road,28.39869,77.03769,interior,interior,hatchback,399.0,399.0,0,completed
B000079,2024-01-03,13:00,U01689,C08,west,New Gurgaon,28.42866,76.97993,subscription,subscription|interior_clean,hatchback,299.0,549.0,0,completed
B000080,2024-01-03,09:00,U01159,C02,west,New Gurgaon,28.42789,76.99062,subscription,subscription,sedan,299.0,299.0,0,completed
B000081,2024-01-03,11:30,U01633,C04,north,Golf Course Road,28.46957,77.10601,exterior_plus,exterior_plus,sedan,499.0,499.0,0,completed
B000082,2024-01-03,13:30,U01212,C06,north,Udyog Vihar,28.51185,77.09063,exterior_plus,exterior_plus|tyre_dressing,hatchback,499.0,598.0,0,completed
B000083,2024-01-03,14:30,U00212,C10,north,Cyber Hub,28.48659,77.09628,subscription,subscription,hatchback,299.0,299.0,0,completed
B000084,2024-01-03,17:00,U00475,C01,east,Sector 56,28.42412,77.10299,interior,interior|interior_clean,sedan,399.0,649.0,0,completed
B000085,2024-01-03,15:00,U02591,C06,west,New Gurgaon,28.41603,76.98431,exterior,exterior|tyre_dressing|pet_hair,hatchback,349.0,598.0,0,completed
B000086,2024-01-04,11:00,U02198,C08,east,Sector 56,28.406,77.10981,subscription,subscription,suv,299.0,299.0,0,completed
B000087,2024-01-04,08:00,U00529,C04,north,Golf Course Road,28.43912,77.09328,exterior,exterior,sedan,349.0,349.0,0,completed
B000088,2024-01-04,17:30,U00843,C02,south,Manesar,28.32092,76.95568,full_detail,full_detail,suv,999.0,999.0,0,completed
B000089,2024-01-04,08:00,U02099,C04,west,Sector 14,28.47519,77.04287,subscription,subscription|interior_clean|tyre_dressing,hatchback,299.0,648.0,0,completed
B000090,2024-01-04,10:30,U00056,C01,west,Sector 14,28.46563,77.02807,interior,interior|interior_clean,hatchback,399.0,649.0,0,completed
B000091,2024-01-04,16:30,U01107,C08,north,Golf Course Road,28.44737,77.09456,exterior,exterior|wax_polish,hatchback,349.0,749.0,0,completed
B000092,2024-01-04,09:00,U02305,C06,south,Sohna Road,28.40301,77.00859,subscription,subscription,suv,299.0,299.0,0,completed
B000093,2024-01-04,12:30,U02131,C08,south,Sohna Road,28.42948,77.02547,exterior,exterior|wax_polish,sedan,349.0,749.0,0,completed
B000094,2024-01-04,08:00,U02143,C07,north,Udyog Vihar,28.51407,77.08302,subscription,subscription|wax_polish,hatchback,299.0,699.0,0,completed
B000095,2024-01-04,11:00,U01763,C09,west,Sector 14,28.47292,77.01922,exterior_plus,exterior_plus|pet_hair,sedan,499.0,649.0,0,completed
B000096,2024-01-04,09:00,U02433,C03,west,Palam Vihar,28.50947,77.03705,exterior_plus,exterior_plus|wax_polish,suv,499.0,899.0,0,no_show
B000097,2024-01-04,09:00,U01005,C07,south,Manesar,28.35373,76.93737,subscription,subscription,suv,299.0,299.0,0,completed
B000098,2024-01-04,11:00,U02233,C01,north,Cyber Hub,28.48571,77.08433,interior,interior|interior_clean,hatchback,399.0,649.0,0,completed
B000099,2024-01-04,16:30,U02059,C01,north,DLF Phase 3,28.49395,77.09893,exterior,exterior|tyre_dressing,suv,349.0,448.0,0,completed
B000100,2024-01-04,09:00,U01386,C01,west,Palam Vihar,28.50551,77.02941,exterior,exterior,hatchback,349.0,349.0,0,completed
B000101,2024-01-04,13:00,U02043,C04,west,Sector 14,28.47159,77.0286,exterior,exterior|interior_clean,sedan,349.0,599.0,0,completed
B000102,2024-01-04,14:00,U02584,C03,north,Udyog Vihar,28.50229,77.07032,subscription,subscription|pet_hair,sedan,299.0,449.0,0,completed
B000103,2024-01-04,17:00,U00865,C10,north,DLF Phase 3,28.50488,77.10416,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000104,2024-01-04,15:30,U01321,C02,north,DLF Phase 3,28.48556,77.09825,exterior,exterior|tyre_dressing|pet_hair,hatchback,349.0,598.0,0,completed
B000105,2024-01-04,17:30,U00340,C07,west,New Gurgaon,28.43463,76.98744,interior,interior,hatchback,399.0,399.0,0,completed
B000106,2024-01-04,11:30,U02258,C09,west,Palam Vihar,28.52759,77.04082,exterior,exterior|interior_clean|tyre_dressing,suv,349.0,698.0,0,completed
B000107,2024-01-04,16:30,U01349,C04,north,Udyog Vihar,28.49921,77.08933,subscription,subscription|wax_polish|tyre_dressing,hatchback,299.0,798.0,0,completed
B000108,2024-01-04,12:30,U01181,C08,north,DLF Phase 3,28.48125,77.05063,subscription,subscription,sedan,299.0,299.0,0,completed
B000109,2024-01-04,14:30,U01276,C01,west,Sector 14,28.4686,77.03373,subscription,subscription,sedan,299.0,299.0,0,completed
B000110,2024-01-04,13:30,U01229,C03,east,Sector 56,28.40735,77.10051,subscription,subscription|tyre_dressing,suv,299.0,398.0,0,completed
B000111,2024-01-04,11:00,U02289,C06,south,Sohna Road,28.39729,77.02739,subscription,subscription|tyre_dressing|engine_bay,hatchback,299.0,748.0,0,completed
B000112,2024-01-04,10:00,U00408,C05,north,Golf Course Road,28.44794,77.09206,exterior,exterior|tyre_dressing,sedan,349.0,448.0,0,completed
B000113,2024-01-04,11:00,U00378,C09,north,Udyog Vihar,28.48761,77.09865,interior,interior,hatchback,399.0,399.0,0,completed
B000114,2024-01-04,14:00,U01778,C02,north,DLF Phase 3,28.49893,77.087,subscription,subscription|pet_hair,sedan,299.0,449.0,0,completed
B000115,2024-01-04,08:30,U00491,C08,west,Sector 14,28.47095,77.03001,subscription,subscription,hatchback,299.0,299.0,0,completed
B000116,2024-01-04,15:00,U00351,C01,north,Golf Course Road,28.44655,77.10976,subscription,subscription|wax_polish,sedan,299.0,699.0,0,completed
B000117,2024-01-04,15:30,U02269,C03,east,Sector 56,28.42554,77.11272,subscription,subscription|pet_hair|engine_bay,hatchback,299.0,799.0,0,completed
B000118,2024-01-04,17:00,U01885,C09,north,Cyber Hub,28.51567,77.11245,subscription,subscription|engine_bay,hatchback,299.0,649.0,0,completed
B000119,2024-01-04,16:30,U02319,C06,west,Palam Vihar,28.52258,77.01534,exterior,exterior|interior_clean,suv,349.0,599.0,0,completed
B000120,2024-01-04,15:00,U02380,C04,north,Udyog Vihar,28.48544,77.08503,interior,interior,hatchback,399.0,399.0,0,completed
B000121,2024-01-04,12:00,U00304,C10,north,Golf Course Road,28.42651,77.11713,subscription,subscription|wax_polish,suv,299.0,699.0,0,completed
B000122,2024-01-04,09:30,U01048,C08,north,Cyber Hub,28.47924,77.08534,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000123,2024-01-04,10:00,U01427,C07,north,Cyber Hub,28.48385,77.07439,subscription,subscription,sedan,299.0,299.0,0,completed
B000124,2024-01-05,13:30,U01614,C02,south,Sohna Road,28.41675,77.04212,subscription,subscription|wax_polish|tyre_dressing,sedan,299.0,798.0,0,completed
B000125,2024-01-05,12:00,U00920,C01,north,Cyber Hub,28.50957,77.08839,subscription,subscription|interior_clean,sedan,299.0,549.0,0,completed
B000126,2024-01-05,09:30,U00776,C08,north,DLF Phase 3,28.48389,77.11025,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000127,2024-01-05,17:30,U02446,C04,south,Manesar,28.35704,76.92799,subscription,subscription,suv,299.0,299.0,0,completed
B000128,2024-01-05,11:00,U01899,C06,north,Cyber Hub,28.49613,77.08066,subscription,subscription|tyre_dressing,suv,299.0,398.0,0,completed
B000129,2024-01-05,16:30,U01450,C01,north,Golf Course Road,28.4361,77.11102,subscription,subscription,suv,299.0,299.0,0,completed
B000130,2024-01-05,08:30,U00165,C04,north,Cyber Hub,28.49955,77.10551,exterior,exterior|interior_clean,sedan,349.0,599.0,0,completed
B000131,2024-01-05,11:30,U02429,C04,north,DLF Phase 3,28.50755,77.08872,exterior,exterior,hatchback,349.0,349.0,0,completed
B000132,2024-01-05,17:00,U01387,C06,west,Palam Vihar,28.52709,77.03071,exterior,exterior|interior_clean,suv,349.0,599.0,0,completed
B000133,2024-01-05,10:00,U02369,C01,south,Sohna Road,28.41582,77.03954,exterior,exterior,suv,349.0,349.0,0,completed
B000134,2024-01-05,13:30,U01064,C07,north,Golf Course Road,28.44243,77.08314,interior,interior,hatchback,399.0,399.0,0,completed
B000135,2024-01-05,16:30,U02448,C06,north,Cyber Hub,28.50512,77.0945,subscription,subscription,suv,299.0,299.0,0,completed
B000136,2024-01-05,11:30,U00103,C05,south,Sohna Road,28.42563,77.02903,exterior_plus,exterior_plus|wax_polish|tyre_dressing|engine_bay,suv,499.0,1348.0,0,completed
B000137,2024-01-05,10:00,U00256,C08,south,Manesar,28.35346,76.93141,interior,interior|tyre_dressing,hatchback,399.0,498.0,0,completed
B000138,2024-01-05,17:00,U02309,C09,north,DLF Phase 3,28.4961,77.0909,subscription,subscription|interior_clean,hatchback,299.0,549.0,0,completed
B000139,2024-01-05,08:00,U01090,C09,south,Manesar,28.34259,76.93891,interior,interior|interior_clean,hatchback,399.0,649.0,0,completed
B000140,2024-01-05,09:00,U01324,C08,north,Golf Course Road,28.4498,77.09874,subscription,subscription|wax_polish,hatchback,299.0,699.0,0,completed
B000141,2024-01-05,16:30,U00251,C08,west,New Gurgaon,28.42937,76.97813,exterior,exterior|interior_clean,hatchback,349.0,599.0,0,completed
B000142,2024-01-05,14:30,U01312,C08,east,Sector 56,28.4208,77.10776,interior,interior|interior_clean|pet_hair,suv,399.0,799.0,0,completed
B000143,2024-01-05,16:00,U01635,C01,north,Udyog Vihar,28.52389,77.07287,subscription,subscription|tyre_dressing,suv,299.0,398.0,0,completed
B000144,2024-01-05,08:00,U00735,C04,north,DLF Phase 3,28.47131,77.0932,exterior,exterior|interior_clean|tyre_dressing,sedan,349.0,698.0,0,completed
B000145,2024-01-05,15:30,U02464,C09,north,DLF Phase 3,28.51739,77.10784,subscription,subscription|engine_bay,hatchback,299.0,649.0,0,completed
B000146,2024-01-05,09:00,U02434,C06,north,DLF Phase 3,28.48983,77.09539,subscription,subscription|interior_clean|tyre_dressing,hatchback,299.0,648.0,0,completed
B000147,2024-01-05,13:30,U00486,C01,north,DLF Phase 3,28.48658,77.08708,subscription,subscription|tyre_dressing|pet_hair,sedan,299.0,548.0,0,completed
B000148,2024-01-05,18:00,U01302,C08,west,New Gurgaon,28.42649,76.96599,exterior,exterior|pet_hair,suv,349.0,499.0,0,completed
B000149,2024-01-05,18:30,U01117,C02,west,Palam Vihar,28.491,77.04558,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000150,2024-01-05,11:00,U00528,C08,south,Manesar,28.36535,76.9342,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,0,completed
B000151,2024-01-05,13:30,U02573,C03,west,Palam Vihar,28.51367,77.04431,full_detail,full_detail|tyre_dressing,hatchback,999.0,1098.0,0,completed
B000152,2024-01-05,12:00,U02394,C08,west,Palam Vihar,28.51509,77.05308,subscription,subscription|interior_clean|wax_polish|tyre_dressing,hatchback,299.0,1048.0,0,completed
B000153,2024-01-05,10:00,U00036,C09,north,Golf Course Road,28.4467,77.10947,exterior_plus,exterior_plus,sedan,499.0,499.0,0,completed
B000154,2024-01-05,13:00,U02035,C08,east,Sector 56,28.41778,77.11529,subscription,subscription,suv,299.0,299.0,0,completed
B000155,2024-01-05,15:30,U00420,C04,north,Udyog Vihar,28.51522,77.06607,subscription,subscription,suv,299.0,299.0,0,completed
B000156,2024-01-05,17:00,U00893,C02,north,Golf Course Road,28.45816,77.09791,subscription,subscription|interior_clean|wax_polish|tyre_dressing|pet_hair,sedan,299.0,1198.0,0,completed
B000157,2024-01-06,09:30,U01267,C04,north,Cyber Hub,28.4825,77.08084,subscription,subscription,sedan,299.0,299.0,1,completed
B000158,2024-01-06,08:30,U02265,C10,west,Palam Vihar,28.50685,77.03464,subscription,subscription|wax_polish,sedan,299.0,699.0,1,completed
B000159,2024-01-06,14:30,U00632,C03,west,Sector 14,28.46173,77.01965,exterior,exterior|wax_polish|tyre_dressing,sedan,401.0,900.0,1,completed
B000160,2024-01-06,12:00,U01816,C04,south,Sohna Road,28.3911,77.01878,subscription,subscription|interior_clean,suv,299.0,549.0,1,completed
B000161,2024-01-06,11:00,U01192,C09,north,Golf Course Road,28.43643,77.12411,exterior,exterior|wax_polish,hatchback,401.0,801.0,1,completed
B000162,2024-01-06,16:30,U01727,C02,west,Sector 14,28.48649,77.01691,exterior,exterior|wax_polish|tyre_dressing,suv,401.0,900.0,1,completed
B000163,2024-01-06,17:30,U00293,C04,north,Udyog Vihar,28.49725,77.09972,subscription,subscription|engine_bay,suv,299.0,649.0,1,completed
B000164,2024-01-06,11:30,U01883,C07,north,Cyber Hub,28.5048,77.07979,exterior,exterior,suv,401.0,401.0,1,completed
B000165,2024-01-06,09:00,U01811,C10,north,Golf Course Road,28.44591,77.09526,interior,interior,suv,439.0,439.0,1,completed
B000166,2024-01-06,08:30,U00633,C04,north,DLF Phase 3,28.48669,77.08761,subscription,subscription|interior_clean,sedan,299.0,549.0,1,completed
B000167,2024-01-06,08:00,U01606,C09,north,Udyog Vihar,28.50779,77.10713,full_detail,full_detail,suv,1249.0,1249.0,1,completed
B000168,2024-01-06,10:00,U00263,C08,west,Palam Vihar,28.49219,77.03241,subscription,subscription|interior_clean|tyre_dressing,suv,299.0,648.0,1,completed
B000169,2024-01-06,16:30,U00179,C07,north,Golf Course Road,28.44044,77.11435,subscription,subscription|wax_polish|pet_hair,suv,299.0,849.0,1,completed
B000170,2024-01-06,11:30,U00921,C03,north,DLF Phase 3,28.49033,77.09382,subscription,subscription,hatchback,299.0,299.0,1,completed
B000171,2024-01-06,17:30,U01566,C06,west,New Gurgaon,28.41672,76.98592,exterior,exterior|engine_bay,sedan,401.0,751.0,1,completed
B000172,2024-01-06,17:30,U00337,C10,north,Udyog Vihar,28.49825,77.08507,subscription,subscription|tyre_dressing,sedan,299.0,398.0,1,completed
B000173,2024-01-06,10:30,U02251,C03,east,Sector 56,28.40798,77.09403,subscription,subscription|engine_bay,sedan,299.0,649.0,1,completed
B000174,2024-01-06,14:30,U00042,C03,west,Sector 14,28.46168,77.02105,exterior,exterior|interior_clean,suv,401.0,651.0,1,completed
B000175,2024-01-06,18:00,U00549,C07,north,DLF Phase 3,28.50312,77.09159,exterior_plus,exterior_plus,sedan,599.0,599.0,1,completed
B000176,2024-01-06,15:00,U01411,C02,east,Sector 56,28.38918,77.10188,full_detail,full_detail|interior_clean,suv,1249.0,1499.0,1,completed
B000177,2024-01-06,09:00,U02492,C01,north,Cyber Hub,28.50563,77.09801,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,1,completed
B000178,2024-01-06,13:00,U01744,C09,south,Manesar,28.36482,76.9236,exterior,exterior|tyre_dressing|engine_bay,suv,401.0,850.0,1,completed
B000179,2024-01-06,09:30,U02097,C04,west,Palam Vihar,28.50958,77.02192,exterior,exterior|wax_polish,sedan,401.0,801.0,1,completed
B000180,2024-01-06,10:00,U01308,C09,west,Palam Vihar,28.49916,77.03533,subscription,subscription|engine_bay,sedan,299.0,649.0,1,completed
B000181,2024-01-06,16:00,U01095,C06,west,Sector 14,28.47785,77.03525,subscription,subscription|interior_clean,hatchback,299.0,549.0,1,completed
B000182,2024-01-06,10:00,U00214,C06,west,Palam Vihar,28.5077,77.04603,exterior,exterior|tyre_dressing,sedan,401.0,500.0,1,completed
B000183,2024-01-06,08:00,U02295,C02,west,Palam Vihar,28.52914,77.01922,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,1,completed
B000184,2024-01-06,14:00,U01907,C07,north,Cyber Hub,28.47666,77.07605,subscription,subscription|tyre_dressing,suv,299.0,398.0,1,completed
B000185,2024-01-06,09:00,U01345,C04,south,Sohna Road,28.43242,77.03677,exterior,exterior,suv,401.0,401.0,1,completed
B000186,2024-01-06,16:30,U01752,C02,west,Sector 14,28.48469,77.03263,exterior,exterior,suv,401.0,401.0,1,completed
B000187,2024-01-06,16:00,U01478,C05,south,Sohna Road,28.40998,77.04146,exterior,exterior,suv,401.0,401.0,1,completed
B000188,2024-01-06,16:00,U00132,C10,north,Golf Course Road,28.43045,77.11194,subscription,subscription,hatchback,299.0,299.0,1,completed
B000189,2024-01-06,10:00,U00054,C09,north,Cyber Hub,28.48828,77.08323,subscription,subscription,hatchback,299.0,299.0,1,completed
