booking_id,date,crew_id,customer_id,zone,scheduled_time,arrival_time,late_minutes,duration_minutes,distance_km,water_litres,dirtiness_level,rating,revenue
B000034,2024-01-02,C10,U00598,west,16:30,16:36,6,34,10.56,48.1,1,4,299.0
B000035,2024-01-02,C03,U02414,north,09:00,09:00,0,45,5.98,55.7,2,3,399.0
B000036,2024-01-02,C03,U01729,north,11:30,11:39,9,45,5.35,33.3,1,3,398.0
B000037,2024-01-02,C08,U02472,north,08:00,08:00,0,30,6.28,51.3,1,3,349.0
B000038,2024-01-02,C03,U01296,north,08:00,08:00,0,65,5.95,35.1,2,5,748.0
B000039,2024-01-02,C05,U02592,east,10:00,10:01,1,31,3.35,44.2,3,5,299.0
B000040,2024-01-02,C06,U01023,north,09:30,10:05,36,30,15.87,40.0,2,3,299.0
B000041,2024-01-02,C03,U02115,north,10:00,10:09,9,60,5.64,78.2,3,4,549.0
B000042,2024-01-02,C10,U00825,north,14:00,14:09,9,39,1.62,56.3,3,4,398.0
B000043,2024-01-02,C03,U01774,north,17:30,17:30,0,40,0.96,40.1,3,4,349.0
B000044,2024-01-02,C01,U00779,west,08:00,08:00,0,30,11.47,58.8,3,5,299.0
B000045,2024-01-02,C04,U01993,west,15:30,15:31,2,36,5.27,52.1,3,4,299.0
B000046,2024-01-02,C08,U01221,west,08:00,08:05,5,60,12.88,48.4,4,3,799.0
B000047,2024-01-02,C03,U01882,south,15:30,15:41,11,45,17.23,50.2,4,3,398.0
B000048,2024-01-02,C09,U01907,north,12:30,12:30,0,62,1.0,56.6,2,4,748.0
B000049,2024-01-02,C02,U02508,north,08:30,08:30,0,38,2.47,49.8,1,4,299.0
B000050,2024-01-02,C02,U01530,north,16:00,16:00,0,38,0.9,54.8,3,4,299.0
B000051,2024-01-02,C09,U00394,west,08:30,08:48,19,62,12.71,55.8,2,4,648.0
B000052,2024-01-02,C09,U00528,south,08:00,08:16,16,57,19.44,63.7,2,3,549.0
B000053,2024-01-02,C04,U01720,south,09:00,09:30,30,56,18.27,64.9,3,2,549.0
B000054,2024-01-02,C09,U00433,north,10:00,10:01,2,37,1.65,48.1,3,5,299.0
B000055,2024-01-02,C09,U01027,north,11:30,11:30,0,87,2.28,71.8,4,4,1098.0
B000056,2024-01-02,C03,U01597,north,16:30,16:41,11,65,7.43,71.4,3,4,698.0
B000057,2024-01-02,C03,U01687,north,12:00,12:00,0,60,7.13,53.1,3,4,598.0
B000058,2024-01-02,C06,U02413,north,13:00,13:13,14,30,11.93,74.4,4,3,299.0
B000059,2024-01-02,C06,U01870,north,10:00,10:15,15,30,13.04,42.1,2,2,299.0
B000060,2024-01-02,C07,U00054,north,10:00,10:00,0,37,5.91,39.7,2,4,349.0
B000061,2024-01-02,C10,U00203,north,09:30,09:33,4,93,1.24,37.9,1,4,1098.0
B000062,2024-01-02,C04,U02345,south,15:00,15:22,23,41,17.34,52.7,3,3,398.0
B000063,2024-01-02,C03,U00302,east,15:30,15:30,0,50,4.31,54.4,1,3,498.0
B000064,2024-01-02,C04,U01510,south,17:00,17:03,4,81,7.56,74.6,3,3,949.0
B000065,2024-01-02,C08,U00056,west,10:00,10:00,0,64,5.56,27.7,1,4,899.0
B000066,2024-01-03,C04,U00026,north,13:00,13:00,0,56,3.4,72.6,3,4,549.0
B000067,2024-01-03,C08,U00736,north,15:30,15:30,0,35,5.25,53.2,2,3,399.0
B000068,2024-01-03,C08,U01441,west,16:00,16:02,2,50,5.43,87.6,3,4,549.0
B000069,2024-01-03,C06,U00728,north,11:00,11:24,24,50,13.96,68.9,3,3,549.0
B000070,2024-01-03,C03,U01305,west,09:30,09:58,29,60,9.85,83.7,4,2,549.0
B000071,2024-01-03,C03,U01168,south,16:00,16:00,0,56,7.79,40.6,2,3,598.0
B000072,2024-01-03,C06,U02234,north,18:00,18:14,14,60,13.41,64.0,3,4,748.0
B000073,2024-01-03,C05,U02282,north,08:00,08:03,3,51,4.07,54.7,2,4,549.0
B000074,2024-01-03,C09,U00792,north,13:30,13:39,9,37,4.77,38.3,2,4,299.0
B000075,2024-01-03,C04,U02154,north,12:00,12:09,10,61,6.45,60.2,2,2,648.0
B000076,2024-01-03,C04,U01739,west,09:00,09:03,4,36,8.61,39.3,2,4,349.0
B000077,2024-01-03,C01,U02305,south,16:00,16:07,7,82,9.21,70.6,3,5,1098.0
B000078,2024-01-03,C01,U01670,south,14:30,14:31,2,34,6.5,48.6,3,5,399.0
B000079,2024-01-03,C08,U01689,west,13:00,13:20,21,50,11.75,58.9,2,2,549.0
B000080,2024-01-03,C02,U01159,west,09:00,09:26,27,38,13.14,66.6,4,3,299.0
B000081,2024-01-03,C04,U01633,north,11:30,11:30,0,47,3.18,49.6,2,3,499.0
B000082,2024-01-03,C06,U01212,north,13:30,13:37,7,44,15.34,51.1,3,4,598.0
B000083,2024-01-03,C10,U00212,north,14:30,14:37,8,34,2.49,50.7,3,4,299.0
B000084,2024-01-03,C01,U00475,east,17:00,17:03,4,54,1.22,68.9,2,4,649.0
B000085,2024-01-03,C06,U02591,west,15:00,15:00,0,50,0.51,50.0,3,4,598.0
B000086,2024-01-04,C08,U02198,east,11:00,11:07,7,30,9.95,57.2,2,4,299.0
B000087,2024-01-04,C04,U00529,north,08:00,08:00,0,36,1.73,57.5,3,4,349.0
B000088,2024-01-04,C02,U00843,south,17:30,18:07,37,98,24.05,57.6,1,2,999.0
B000089,2024-01-04,C04,U02099,west,08:00,08:01,1,61,4.66,64.4,3,3,648.0
B000090,2024-01-04,C01,U00056,west,10:30,10:31,2,54,9.29,56.2,1,5,649.0
B000091,2024-01-04,C08,U01107,north,16:30,16:34,5,55,5.11,31.2,1,3,749.0
B000092,2024-01-04,C06,U02305,south,09:00,09:00,0,30,3.14,60.5,2,4,299.0
B000093,2024-01-04,C08,U02131,south,12:30,12:35,6,55,8.49,59.3,3,5,749.0
B000094,2024-01-04,C07,U02143,north,08:00,08:00,0,62,8.77,43.6,2,4,699.0
B000095,2024-01-04,C09,U01763,west,11:00,11:09,9,63,6.57,44.3,2,3,649.0
B000097,2024-01-04,C07,U01005,south,09:00,09:20,20,37,17.61,56.2,2,2,299.0
B000098,2024-01-04,C01,U02233,north,11:00,11:00,0,54,8.25,60.8,2,4,649.0
B000099,2024-01-04,C01,U02059,north,16:30,16:41,11,35,8.99,70.1,3,3,448.0
B000100,2024-01-04,C01,U01386,west,09:00,09:13,13,30,12.49,38.2,1,5,349.0
B000101,2024-01-04,C04,U02043,west,13:00,13:05,5,56,5.67,64.2,2,4,599.0
B000102,2024-01-04,C03,U02584,north,14:00,14:00,0,55,6.91,41.3,2,3,449.0
B000103,2024-01-04,C10,U00865,north,17:00,17:00,0,39,4.62,38.3,1,3,398.0
B000104,2024-01-04,C02,U01321,north,15:30,15:30,0,58,1.13,45.6,2,3,598.0
B000105,2024-01-04,C07,U00340,west,17:30,17:38,9,42,10.18,38.0,1,4,399.0
B000106,2024-01-04,C09,U02258,west,11:30,11:41,12,62,7.07,84.0,2,4,698.0
B000107,2024-01-04,C04,U01349,north,16:30,16:36,6,66,5.45,32.2,1,5,798.0
B000108,2024-01-04,C08,U01181,north,12:30,12:30,0,30,2.81,42.3,2,4,299.0
B000109,2024-01-04,C01,U01276,west,14:30,14:30,0,30,9.09,49.1,2,5,299.0
B000110,2024-01-04,C03,U01229,east,13:30,13:35,6,45,4.07,54.8,2,3,398.0
B000111,2024-01-04,C06,U02289,south,11:00,11:00,0,55,5.08,44.9,2,4,748.0
B000112,2024-01-04,C05,U00408,north,10:00,10:00,0,36,1.47,54.5,2,4,448.0
B000113,2024-01-04,C09,U00378,north,11:00,11:00,0,43,1.62,31.0,1,4,399.0
B000114,2024-01-04,C02,U01778,north,14:00,14:03,3,53,1.41,44.8,1,3,449.0
B000115,2024-01-04,C08,U00491,west,08:30,08:35,6,30,5.11,34.3,2,4,299.0
B000116,2024-01-04,C01,U00351,north,15:00,15:00,0,55,3.79,49.2,2,5,699.0
B000117,2024-01-04,C03,U02269,east,15:30,15:39,10,75,2.8,54.9,4,4,799.0
B000118,2024-01-04,C09,U01885,north,17:00,17:03,3,57,4.91,50.4,4,4,649.0
B000119,2024-01-04,C06,U02319,west,16:30,16:45,15,50,12.52,88.3,3,3,599.0
B000120,2024-01-04,C04,U02380,north,15:00,15:05,6,42,3.88,46.6,2,3,399.0
B000121,2024-01-04,C10,U00304,north,12:00,12:05,6,59,4.78,65.9,3,4,699.0
B000122,2024-01-04,C08,U01048,north,09:30,09:30,0,35,1.51,38.2,1,3,398.0
B000123,2024-01-04,C07,U01427,north,10:00,10:05,5,37,5.62,59.1,3,3,299.0
B000124,2024-01-05,C02,U01614,south,13:30,13:30,0,68,10.47,42.6,1,4,798.0
B000125,2024-01-05,C01,U00920,north,12:00,12:00,0,50,10.81,77.1,3,5,549.0
B000126,2024-01-05,C08,U00776,north,09:30,09:39,10,35,3.32,60.5,4,3,398.0
B000127,2024-01-05,C04,U02446,south,17:30,17:55,25,36,18.28,55.7,2,3,299.0
B000128,2024-01-05,C06,U01899,north,11:00,11:07,8,35,13.43,49.8,1,4,398.0
B000129,2024-01-05,C01,U01450,north,16:30,16:37,8,30,2.7,62.6,2,5,299.0
B000130,2024-01-05,C04,U00165,north,08:30,08:30,0,56,5.91,74.3,3,4,599.0
B000131,2024-01-05,C04,U02429,north,11:30,11:33,3,36,6.36,42.8,3,4,349.0
B000132,2024-01-05,C06,U01387,west,17:00,17:10,10,50,13.48,75.8,2,3,599.0
B000133,2024-01-05,C01,U02369,south,10:00,10:03,4,30,6.12,65.4,3,4,349.0
B000134,2024-01-05,C07,U01064,north,13:30,13:39,9,42,1.12,37.0,2,5,399.0
B000135,2024-01-05,C06,U02448,north,16:30,16:51,21,30,15.1,60.8,2,3,299.0
B000136,2024-01-05,C05,U00103,south,11:30,11:30,0,90,7.94,51.2,1,4,1348.0
B000137,2024-01-05,C08,U00256,south,10:00,10:16,16,40,20.89,36.3,1,2,498.0
B000138,2024-01-05,C09,U02309,north,17:00,17:02,2,57,2.06,54.4,2,4,549.0
B000139,2024-01-05,C09,U01090,south,08:00,08:28,28,63,20.84,56.8,2,3,649.0
B000140,2024-01-05,C08,U01324,north,09:00,09:00,0,55,5.02,50.3,4,3,699.0
B000141,2024-01-05,C08,U00251,west,16:30,16:41,11,50,11.85,55.6,1,3,599.0
B000142,2024-01-05,C08,U01312,east,14:30,14:54,24,70,8.33,85.1,2,4,799.0
B000143,2024-01-05,C01,U01635,north,16:00,16:11,12,35,12.64,58.8,2,3,398.0
B000144,2024-01-05,C04,U00735,north,08:00,08:01,1,61,2.56,74.9,3,4,698.0
B000145,2024-01-05,C09,U02464,north,15:30,15:30,0,57,4.86,36.7,1,4,649.0
B000146,2024-01-05,C06,U02434,north,09:00,09:13,13,55,14.1,65.2,3,3,648.0
B000147,2024-01-05,C01,U00486,north,13:30,13:30,0,50,8.3,40.9,1,4,548.0
B000148,2024-01-05,C08,U01302,west,18:00,18:17,17,45,13.01,54.4,1,3,499.0
B000149,2024-01-05,C02,U01117,west,18:30,18:37,8,43,5.43,48.5,2,4,398.0
B000150,2024-01-05,C08,U00528,south,11:00,11:11,11,35,19.75,37.5,2,3,398.0
B000151,2024-01-05,C03,U02573,west,13:30,13:41,12,107,9.13,43.1,3,3,1098.0
B000152,2024-01-05,C08,U02394,west,12:00,12:01,1,80,3.59,69.9,4,3,1048.0
B000153,2024-01-05,C09,U00036,north,10:00,10:00,0,48,4.16,49.9,2,5,499.0
B000154,2024-01-05,C08,U02035,east,13:00,13:05,5,30,8.93,54.9,1,4,299.0
B000155,2024-01-05,C04,U00420,north,15:30,15:48,18,36,7.33,67.8,3,4,299.0
B000156,2024-01-05,C02,U00893,north,17:00,17:00,0,103,4.15,73.0,3,3,1198.0
B000157,2024-01-06,C04,U01267,north,09:30,09:46,16,36,3.53,53.4,2,4,299.0
B000158,2024-01-06,C10,U02265,west,08:30,08:48,18,59,7.48,53.9,2,3,699.0
B000159,2024-01-06,C03,U00632,west,14:30,14:30,0,70,7.4,65.4,4,4,900.0
B000160,2024-01-06,C04,U01816,south,12:00,12:03,3,56,9.04,66.7,1,4,549.0
B000161,2024-01-06,C09,U01192,north,11:00,11:18,19,62,5.93,35.7,2,4,801.0
B000162,2024-01-06,C02,U01727,west,16:30,16:30,0,68,8.27,56.3,2,5,900.0
B000163,2024-01-06,C04,U00293,north,17:30,17:30,0,56,5.47,56.2,2,4,649.0
B000164,2024-01-06,C07,U01883,north,11:30,11:37,7,37,7.78,66.9,3,4,401.0
B000165,2024-01-06,C10,U01811,north,09:00,09:05,6,39,2.05,70.9,3,3,439.0
B000166,2024-01-06,C04,U00633,north,08:30,08:31,1,56,4.04,63.2,2,4,549.0
B000167,2024-01-06,C09,U01606,north,08:00,08:13,13,96,3.89,78.2,4,3,1249.0
B000168,2024-01-06,C08,U00263,west,10:00,10:00,0,55,4.38,66.8,1,3,648.0
B000169,2024-01-06,C07,U00179,north,16:30,16:32,2,77,2.3,75.8,4,5,849.0
B000170,2024-01-06,C03,U00921,north,11:30,11:35,6,40,5.24,45.1,2,4,299.0
B000171,2024-01-06,C06,U01566,west,17:30,17:30,0,50,0.69,43.0,2,3,751.0
B000172,2024-01-06,C10,U00337,north,17:30,17:36,6,39,3.87,51.8,2,3,398.0
B000173,2024-01-06,C03,U02251,east,10:30,10:30,0,60,3.92,57.2,3,3,649.0
B000174,2024-01-06,C03,U00042,west,14:30,14:41,11,60,7.27,86.5,3,2,651.0
B000175,2024-01-06,C07,U00549,north,18:00,18:07,7,47,7.51,38.4,1,5,599.0
B000176,2024-01-06,C02,U01411,east,15:00,15:07,7,118,11.81,90.3,3,4,1499.0
B000177,2024-01-06,C01,U02492,north,09:00,09:01,2,35,10.29,38.7,2,5,398.0
B000178,2024-01-06,C09,U01744,south,13:00,13:26,26,62,20.28,70.9,3,4,850.0
B000179,2024-01-06,C04,U02097,west,09:30,09:35,6,61,8.76,42.5,1,3,801.0
B000180,2024-01-06,C09,U01308,west,10:00,10:00,0,57,5.49,50.5,2,5,649.0
B000181,2024-01-06,C06,U01095,west,16:00,16:23,24,50,8.91,57.3,2,2,549.0
B000182,2024-01-06,C06,U00214,west,10:00,10:18,18,35,12.24,59.6,3,3,500.0
B000183,2024-01-06,C02,U02295,west,08:00,08:11,12,43,8.82,52.7,4,4,398.0
B000184,2024-01-06,C07,U01907,north,14:00,14:00,0,42,4.81,59.0,2,5,398.0
B000185,2024-01-06,C04,U01345,south,09:00,09:00,0,36,4.83,55.7,2,3,401.0
B000186,2024-01-06,C02,U01752,west,16:30,16:33,3,38,6.78,61.1,2,4,401.0
B000187,2024-01-06,C05,U01478,south,16:00,16:00,0,31,7.53,69.9,3,5,401.0
B000188,2024-01-06,C10,U00132,north,16:00,16:00,0,34,4.16,38.0,2,4,299.0
B000189,2024-01-06,C09,U00054,north,10:00,10:00,0,37,1.17,50.8,3,5,299.0
B000190,2024-01-06,C01,U00286,north,15:00,15:05,5,44,10.69,50.7,4,4,698.0
B000191,2024-01-06,C09,U02213,south,15:30,15:50,20,82,21.0,60.2,3,4,949.0
B000192,2024-01-06,C07,U01102,north,08:30,08:35,5,62,4.52,57.3,3,4,699.0
B000193,2024-01-06,C08,U01035,north,17:00,17:00,0,35,1.68,42.9,2,4,398.0
B000194,2024-01-06,C09,U02270,south,09:00,09:22,22,87,10.49,39.7,1,4,1250.0
B000195,2024-01-06,C04,U01195,north,16:00,16:00,0,56,5.41,65.3,2,3,651.0
B000196,2024-01-06,C01,U02267,west,18:30,18:30,1,30,11.02,77.4,4,4,299.0
B000197,2024-01-06,C07,U01145,north,16:30,16:37,7,37,7.92,40.2,2,4,401.0
B000198,2024-01-06,C07,U00464,west,14:30,14:39,10,37,7.96,43.2,2,3,299.0
B000199,2024-01-06,C07,U01360,north,09:00,09:09,10,42,7.88,51.0,1,3,439.0
B000200,2024-01-06,C08,U00750,north,13:30,13:30,0,85,1.67,78.8,2,4,1188.0
B000201,2024-01-06,C08,U02565,north,16:30,16:32,2,80,4.7,56.0,1,4,1048.0
B000202,2024-01-06,C06,U00732,south,16:00,16:00,0,35,6.36,57.1,3,4,500.0
B000203,2024-01-06,C10,U00940,north,15:00,15:05,6,84,4.67,81.7,4,3,1089.0
B000204,2024-01-06,C07,U02326,north,17:30,17:30,0,37,6.11,51.5,1,4,299.0
B000205,2024-01-06,C05,U02502,north,18:30,18:36,6,105,6.08,63.5,2,3,1598.0
B000206,2024-01-06,C06,U00712,south,14:30,14:35,5,30,5.63,30.0,1,4,299.0
B000207,2024-01-06,C04,U02347,north,10:00,10:00,0,62,5.02,44.9,2,3,789.0
B000208,2024-01-06,C05,U01900,north,09:30,09:30,0,61,6.96,59.4,4,5,798.0
B000209,2024-01-06,C03,U01346,west,17:00,17:03,3,45,9.93,38.8,1,4,439.0
B000210,2024-01-06,C06,U01013,south,11:30,11:30,0,50,6.17,59.9,2,4,549.0
B000211,2024-01-06,C10,U01199,north,10:00,10:09,10,39,5.42,53.9,4,3,398.0
B000212,2024-01-06,C04,U02355,south,16:30,16:37,8,36,6.25,48.5,3,3,299.0
B000213,2024-01-06,C06,U00192,south,10:30,10:30,0,35,6.73,49.9,2,4,398.0
B000214,2024-01-06,C03,U00382,north,10:00,10:00,0,122,0.96,55.3,2,4,1499.0
B000215,2024-01-06,C03,U02406,north,11:00,11:00,0,45,5.14,65.8,4,3,500.0
B000216,2024-01-06,C01,U02100,north,13:30,13:31,2,77,9.11,35.7,1,5,1249.0
B000217,2024-01-06,C06,U00877,north,11:30,11:48,19,35,15.37,51.0,3,3,398.0
B000218,2024-01-07,C06,U01268,north,15:00,15:05,6,30,14.43,44.2,2,3,299.0
B000219,2024-01-07,C07,U00300,north,11:00,11:07,7,114,4.18,68.3,2,4,1499.0
B000220,2024-01-07,C04,U02452,south,17:30,17:30,0,66,5.5,46.2,2,5,900.0
B000221,2024-01-07,C09,U01517,west,13:30,13:45,15,37,7.41,47.3,2,3,401.0
B000222,2024-01-07,C05,U00320,north,17:30,17:30,0,31,1.81,69.5,3,5,299.0
B000223,2024-01-07,C02,U00157,north,09:30,09:30,0,83,2.1,67.8,2,5,949.0
B000224,2024-01-07,C07,U00763,south,17:30,17:30,0,57,7.19,84.4,3,4,549.0
B000225,2024-01-07,C01,U01106,north,13:00,13:05,6,34,11.15,56.1,3,5,439.0
B000226,2024-01-07,C06,U01705,north,10:00,10:18,19,59,11.07,64.8,2,2,849.0
B000227,2024-01-07,C07,U01800,west,11:00,11:05,5,37,7.18,48.8,4,4,299.0
B000228,2024-01-07,C10,U02527,north,12:00,12:00,0,39,4.72,43.2,2,3,398.0
B000229,2024-01-07,C07,U01606,north,11:30,11:30,0,57,8.17,84.2,3,4,549.0
B000230,2024-01-07,C10,U01769,north,13:00,13:01,1,59,4.22,45.0,3,5,699.0
B000231,2024-01-07,C10,U00128,north,14:30,14:30,0,34,5.47,50.5,1,5,299.0
B000232,2024-01-07,C08,U00216,west,12:00,12:09,10,30,13.09,51.7,3,3,401.0
B000233,2024-01-07,C05,U02420,north,10:00,10:00,0,31,6.11,69.2,3,5,299.0
B000234,2024-01-07,C03,U00545,north,17:00,17:00,0,132,4.45,61.7,4,4,1748.0
B000235,2024-01-07,C04,U00441,south,08:30,08:30,0,36,7.42,63.1,2,5,299.0
B000236,2024-01-07,C03,U02405,north,17:00,17:00,0,65,7.1,49.3,2,4,801.0
B000237,2024-01-07,C08,U01621,north,11:30,11:30,0,35,0.47,47.1,2,4,439.0
B000238,2024-01-07,C05,U00339,west,10:00,10:20,20,36,9.35,32.9,1,3,439.0
B000239,2024-01-07,C04,U02093,north,16:30,16:30,0,36,3.86,40.8,1,4,299.0
B000240,2024-01-07,C01,U02194,north,18:30,18:45,15,45,8.09,60.9,2,4,449.0
B000241,2024-01-07,C05,U00306,south,09:00,09:00,0,46,6.89,35.1,1,5,449.0
B000242,2024-01-07,C09,U00176,south,12:30,12:37,7,37,7.89,68.3,3,4,299.0
B000243,2024-01-07,C04,U00170,west,14:30,14:30,0,119,9.72,56.7,3,4,1649.0
B000244,2024-01-07,C01,U02549,west,11:30,11:30,0,30,12.93,50.9,4,5,401.0
B000245,2024-01-07,C07,U00203,north,14:30,14:39,10,42,4.41,33.8,1,4,500.0
B000246,2024-01-07,C08,U00843,south,10:30,11:05,35,60,22.31,69.8,3,2,839.0
B000247,2024-01-07,C06,U01312,east,16:00,16:15,16,44,12.58,64.8,3,3,698.0
B000248,2024-01-07,C03,U02376,west,11:30,11:30,0,45,6.96,41.2,3,4,398.0
B000249,2024-01-07,C10,U01199,north,10:00,10:16,16,64,5.42,38.7,2,3,798.0
B000250,2024-01-07,C02,U01068,south,10:00,10:13,14,38,11.41,52.4,2,4,299.0
B000251,2024-01-07,C01,U00632,west,18:30,18:47,17,35,9.7,50.5,2,5,398.0
B000252,2024-01-07,C10,U01174,north,10:30,10:39,9,59,5.21,27.3,1,5,699.0
B000253,2024-01-07,C02,U00558,north,12:00,12:00,0,43,1.03,39.1,2,3,398.0
B000254,2024-01-07,C07,U01661,west,14:00,14:11,11,42,10.88,53.2,3,3,398.0
B000255,2024-01-07,C07,U00604,west,15:00,15:11,12,47,8.21,76.2,4,3,538.0
B000256,2024-01-07,C06,U01826,north,09:00,09:05,5,65,13.47,68.0,3,3,938.0
B000257,2024-01-07,C06,U01554,north,09:30,09:31,1,30,13.96,49.7,4,4,299.0
B000258,2024-01-07,C04,U01500,north,09:30,09:39,9,36,2.87,69.2,3,4,299.0
B000259,2024-01-07,C05,U02044,north,10:30,10:31,2,61,7.39,59.8,2,5,788.0
B000260,2024-01-07,C08,U01815,north,15:00,15:00,0,30,1.44,41.8,2,4,401.0
B000261,2024-01-07,C06,U00854,north,16:30,16:37,8,35,12.68,67.6,3,4,398.0
B000262,2024-01-07,C07,U02154,north,11:30,11:30,0,37,7.21,34.4,1,4,299.0
B000263,2024-01-07,C03,U00906,south,10:00,10:00,0,71,4.46,51.9,1,5,849.0
B000264,2024-01-07,C06,U01350,north,12:00,12:03,4,30,10.53,56.6,3,4,299.0
B000265,2024-01-07,C09,U00315,north,16:00,16:15,15,37,5.23,48.6,1,3,401.0
B000266,2024-01-07,C04,U00227,east,09:00,09:00,0,56,2.61,85.7,3,4,651.0
B000267,2024-01-07,C08,U02124,east,16:30,16:33,4,50,9.57,52.1,3,4,649.0
B000268,2024-01-07,C03,U01598,north,15:30,15:31,1,65,2.11,45.9,2,4,801.0
B000269,2024-01-07,C05,U00117,north,17:00,17:00,0,31,1.33,32.9,1,4,299.0
B000270,2024-01-07,C03,U00128,north,11:00,11:07,8,40,7.81,59.5,2,4,401.0
B000271,2024-01-07,C05,U01281,west,11:30,11:31,2,31,7.96,46.3,2,4,299.0
B000272,2024-01-08,C02,U01016,west,16:30,16:33,4,38,8.03,52.7,3,4,299.0
B000273,2024-01-08,C05,U02131,south,16:00,16:06,6,40,8.17,60.9,3,4,499.0
B000274,2024-01-08,C06,U00624,north,15:30,15:52,23,30,14.57,59.9,3,3,299.0
B000275,2024-01-08,C10,U00047,south,14:00,14:03,4,89,9.77,50.2,4,5,1249.0
B000276,2024-01-08,C09,U00015,north,16:30,16:33,3,68,2.16,51.0,1,4,748.0
B000277,2024-01-08,C10,U00014,north,09:30,09:30,0,64,3.35,61.6,2,4,848.0
B000279,2024-01-08,C03,U00958,north,18:30,18:30,0,40,0.52,37.7,2,4,349.0
B000280,2024-01-08,C06,U02376,west,10:30,10:35,6,30,8.14,33.1,1,4,299.0
B000281,2024-01-08,C06,U00348,west,10:00,10:00,0,30,7.06,59.6,2,4,349.0
B000282,2024-01-08,C07,U02395,north,17:00,17:00,0,67,1.91,79.8,4,4,749.0
B000283,2024-01-08,C03,U02266,north,17:00,17:07,8,40,7.57,42.0,2,5,349.0
B000284,2024-01-08,C05,U01091,north,10:30,10:35,6,71,4.76,67.4,3,3,899.0
B000285,2024-01-08,C09,U02463,north,14:30,14:30,0,37,1.56,56.5,3,4,299.0
B000286,2024-01-08,C06,U00716,south,11:30,11:30,0,60,7.27,59.5,2,5,798.0
B000287,2024-01-08,C09,U00413,north,11:30,11:30,0,93,1.66,73.3,1,4,1198.0
B000288,2024-01-08,C06,U00347,west,15:30,15:30,0,35,2.95,46.2,2,4,398.0
B000289,2024-01-08,C01,U01866,north,08:00,08:01,2,50,9.68,99.6,4,5,549.0
B000290,2024-01-08,C04,U00351,north,09:00,09:00,0,61,2.8,38.6,1,4,699.0
B000291,2024-01-08,C03,U01087,west,09:30,09:30,0,45,8.86,62.3,2,3,399.0
B000292,2024-01-08,C06,U02073,north,10:00,10:11,11,50,14.37,91.5,4,2,549.0
B000293,2024-01-08,C06,U01407,north,16:00,16:26,26,55,14.06,82.3,4,3,648.0
