date,temp_c,rain_mm,condition
2024-03-23,24.7,0.0,clear
2024-03-24,22.3,0.0,clear
2024-03-25,17.3,0.0,clear
2024-03-26,19.2,4.8,rain
2024-03-27,23.2,0.0,clear
2024-03-28,21.9,0.0,clear
2024-03-29,24.1,0.0,clear
2024-03-30,21.3,0.0,clear
2024-03-31,24.2,0.0,clear
2024-04-01,21.7,0.0,clear
2024-04-02,23.0,0.0,clear
2024-04-03,24.1,0.0,clear
2024-04-04,24.2,0.0,clear
2024-04-05,21.0,0.0,clear
2024-04-06,26.0,0.0,clear
2024-04-07,25.1,0.0,clear
2024-04-08,23.6,0.0,clear
2024-04-09,21.3,0.0,clear
2024-04-10,22.0,0.0,clear
2024-04-11,27.6,0.0,clear
2024-04-12,20.0,0.0,clear
2024-04-13,27.7,0.0,clear
2024-04-14,25.6,0.0,clear
2024-04-15,25.9,0.0,clear
2024-04-16,27.6,0.0,clear
2024-04-17,28.6,0.0,clear
2024-04-18,23.9,0.0,clear
2024-04-19,28.0,23.1,rain
2024-04-20,25.3,0.0,clear
2024-04-21,28.2,0.0,clear
2024-04-22,25.3,0.0,clear
2024-04-23,26.9,0.0,clear
2024-04-24,28.3,0.0,clear
2024-04-25,25.4,0.0,clear
2024-04-26,26.1,0.0,clear
2024-04-27,28.9,0.0,clear
2024-04-28,26.3,0.0,clear
2024-04-29,29.5,0.0,clear
2024-04-30,26.5,0.0,clear
2024-05-01,25.3,3.1,rain
2024-05-02,26.8,8.8,rain
2024-05-03,28.7,0.0,clear
2024-05-04,27.2,0.0,clear
2024-05-05,26.8,0.0,clear
2024-05-06,28.2,0.0,clear
2024-05-07,29.2,0.0,clear
2024-05-08,28.2,0.0,clear
2024-05-09,28.7,0.0,clear
2024-05-10,33.3,0.0,clear
2024-05-11,30.0,0.0,clear
2024-05-12,25.0,0.0,clear
2024-05-13,27.4,0.0,clear
2024-05-14,30.1,0.0,clear
2024-05-15,27.9,0.0,clear
2024-05-16,30.0,0.0,clear
2024-05-17,34.5,0.0,clear
2024-05-18,27.2,0.0,clear
2024-05-19,35.0,0.0,clear
2024-05-20,29.7,0.0,clear
2024-05-21,30.6,0.0,clear
2024-05-22,31.8,0.0,clear
2024-05-23,29.8,0.0,clear
2024-05-24,28.4,0.0,clear
2024-05-25,31.3,0.0,clear
2024-05-26,28.9,0.0,clear
2024-05-27,33.8,0.0,clear
2024-05-28,32.1,0.0,clear
2024-05-29,25.9,0.0,clear
2024-05-30,33.2,0.0,clear
2024-05-31,30.4,0.0,clear
2024-06-01,34.0,0.0,clear
2024-06-02,31.6,23.5,rain
2024-06-03,30.9,1.7,clear
2024-06-04,31.8,0.0,clear
2024-06-05,36.1,0.0,clear
2024-06-06,37.4,0.0,clear
2024-06-07,33.3,0.0,clear
2024-06-08,33.7,0.0,clear
2024-06-09,34.5,0.0,clear
2024-06-10,35.6,0.0,clear
2024-06-11,35.8,0.0,clear
2024-06-12,34.2,0.0,clear
2024-06-13,35.6,0.0,clear
2024-06-14,34.1,1.1,clear
2024-06-15,33.6,0.0,clear
2024-06-16,32.5,0.0,clear
2024-06-17,32.1,0.0,clear
2024-06-18,31.8,0.0,clear
2024-06-19,38.9,0.0,clear
2024-06-20,36.7,0.0,clear
2024-06-21,30.3,0.0,clear
2024-06-22,33.5,0.0,clear
2024-06-23,33.6,0.0,clear
2024-06-24,35.0,0.0,clear
2024-06-25,36.7,0.0,clear
2024-06-26,35.8,0.0,clear
2024-06-27,35.6,0.0,clear
2024-06-28,33.7,0.0,clear
2024-06-29,35.3,0.0,clear
2024-06-30,36.0,16.4,rain
2024-07-01,32.9,9.7,rain
2024-07-02,36.5,23.4,rain
2024-07-03,33.6,0.0,clear
2024-07-04,36.9,0.0,clear
2024-07-05,33.9,0.0,clear
2024-07-06,37.9,0.0,clear
2024-07-07,35.7,0.0,clear
2024-07-08,34.4,8.8,rain
2024-07-09,37.0,20.1,rain
2024-07-10,35.9,8.8,rain
2024-07-11,39.6,0.0,clear
2024-07-12,38.1,0.0,clear
2024-07-13,35.7,26.8,heavy_rain
2024-07-14,34.7,0.0,clear
2024-07-15,36.3,49.3,heavy_rain
2024-07-16,34.6,0.0,clear
2024-07-17,36.2,49.1,heavy_rain
2024-07-18,35.9,18.4,rain
2024-07-19,33.4,20.3,rain
2024-07-20,35.7,18.0,rain
2024-07-21,37.8,24.5,rain
2024-07-22,37.8,19.4,rain
2024-07-23,33.6,0.0,clear
2024-07-24,34.5,0.0,clear
2024-07-25,34.9,6.1,rain
2024-07-26,32.9,48.8,heavy_rain
2024-07-27,35.3,1.0,clear
2024-07-28,38.1,0.0,clear
2024-07-29,31.7,0.0,clear
2024-07-30,36.1,0.0,clear
2024-07-31,34.5,0.0,clear
2024-08-01,37.6,0.0,clear
2024-08-02,32.1,0.0,clear
2024-08-03,38.1,0.0,clear
2024-08-04,33.3,24.3,rain
2024-08-05,35.6,36.0,heavy_rain
2024-08-06,37.8,0.0,clear
2024-08-07,33.0,0.0,clear
2024-08-08,32.9,0.0,clear
2024-08-09,39.0,0.0,clear
2024-08-10,35.0,0.0,clear
2024-08-11,31.7,14.1,rain
2024-08-12,34.7,8.9,rain
2024-08-13,34.4,37.3,heavy_rain
2024-08-14,34.2,0.0,clear
2024-08-15,28.5,0.0,clear
2024-08-16,34.9,0.0,clear
2024-08-17,32.0,6.5,rain
2024-08-18,35.2,0.0,clear
2024-08-19,35.5,16.3,rain
2024-08-20,33.9,15.9,rain
2024-08-21,37.2,0.0,clear
2024-08-22,33.0,0.0,clear
2024-08-23,32.0,0.0,clear
2024-08-24,32.5,0.0,clear
2024-08-25,33.7,45.9,heavy_rain
2024-08-26,32.6,3.5,rain
2024-08-27,34.2,0.0,clear
2024-08-28,31.4,21.0,rain
2024-08-29,34.4,0.0,clear
2024-08-30,32.3,11.3,rain
2024-08-31,31.8,24.1,rain
2024-09-01,30.2,0.0,clear
2024-09-02,31.9,0.0,clear
2024-09-03,30.7,0.0,clear
2024-09-04,32.3,0.0,clear
2024-09-05,32.0,0.0,clear
2024-09-06,31.4,24.3,rain
2024-09-07,30.0,39.0,heavy_rain
2024-09-08,31.5,4.9,rain
2024-09-09,34.5,0.0,clear
2024-09-10,29.6,9.7,rain
2024-09-11,32.6,0.0,clear
2024-09-12,29.1,0.0,clear
2024-09-13,29.6,23.3,rain
2024-09-14,30.9,0.0,clear
2024-09-15,29.2,0.0,clear
2024-09-16,35.2,0.0,clear
2024-09-17,28.6,0.0,clear
2024-09-18,29.8,0.0,clear
2024-09-19,32.7,0.0,clear
2024-09-20,26.9,0.0,clear
2024-09-21,32.0,0.0,clear
2024-09-22,28.2,4.5,rain
2024-09-23,26.6,0.0,clear
2024-09-24,27.7,1.8,clear
2024-09-25,29.7,0.0,clear
2024-09-26,28.0,0.0,clear
2024-09-27,27.2,0.0,clear
2024-09-28,31.6,0.0,clear
2024-09-29,26.9,0.0,clear
2024-09-30,26.2,0.0,clear
2024-10-01,28.2,0.0,clear
2024-10-02,28.5,0.0,clear
2024-10-03,25.7,0.0,clear
2024-10-04,27.1,0.0,clear
2024-10-05,25.7,0.0,clear
2024-10-06,27.0,0.0,clear
2024-10-07,25.9,0.0,clear
2024-10-08,27.1,0.0,clear
2024-10-09,21.9,0.0,clear
2024-10-10,24.0,0.0,clear
2024-10-11,23.4,0.0,clear
2024-10-12,26.9,0.0,clear
2024-10-13,27.0,0.0,clear
2024-10-14,25.8,0.0,clear
2024-10-15,21.9,0.0,clear
2024-10-16,24.7,0.0,clear
2024-10-17,24.4,0.0,clear
2024-10-18,26.0,0.0,clear
2024-10-19,28.3,0.0,clear
2024-10-20,22.8,24.5,rain
2024-10-21,24.5,0.0,clear
2024-10-22,20.7,8.7,rain
2024-10-23,19.5,0.0,clear
2024-10-24,26.4,0.0,clear
2024-10-25,24.7,0.0,clear
2024-10-26,22.6,0.0,clear
2024-10-27,19.4,0.0,clear
2024-10-28,22.0,0.0,clear
2024-10-29,20.1,0.0,clear
2024-10-30,19.2,0.0,clear
2024-10-31,25.7,0.0,clear
2024-11-01,22.7,0.0,clear
2024-11-02,20.5,0.0,clear
2024-11-03,19.9,0.0,clear
2024-11-04,19.0,0.0,clear
2024-11-05,18.5,0.0,clear
2024-11-06,18.0,0.0,clear
2024-11-07,20.3,0.0,clear
2024-11-08,20.3,0.0,clear
2024-11-09,20.2,0.0,clear
2024-11-10,23.3,0.0,clear
2024-11-11,19.2,0.0,clear
2024-11-12,20.0,0.0,clear
2024-11-13,21.3,0.0,clear
2024-11-14,19.4,0.0,clear
2024-11-15,19.8,0.0,clear
2024-11-16,17.7,0.0,clear
2024-11-17,19.9,0.0,clear
2024-11-18,19.0,0.0,clear
2024-11-19,19.3,0.0,clear
2024-11-20,18.0,0.0,clear
2024-11-21,17.1,0.0,clear
2024-11-22,16.8,0.0,clear
2024-11-23,18.1,0.0,clear
2024-11-24,18.7,0.0,clear
2024-11-25,16.4,0.0,clear
2024-11-26,16.2,0.0,clear
2024-11-27,22.8,0.0,clear
2024-11-28,17.8,0.0,clear
2024-11-29,19.5,0.0,clear
2024-11-30,18.5,0.0,clear
2024-12-01,18.8,0.0,clear
2024-12-02,17.3,0.0,clear
2024-12-03,17.3,0.0,clear
2024-12-04,20.3,0.0,clear
2024-12-05,13.8,0.0,clear
2024-12-06,18.2,0.0,clear
2024-12-07,15.5,0.0,clear
2024-12-08,16.1,0.0,clear
2024-12-09,15.5,0.0,clear
2024-12-10,14.6,0.0,clear
2024-12-11,17.2,3.9,rain
2024-12-12,17.7,0.0,clear
2024-12-13,19.7,0.0,clear
2024-12-14,19.5,0.0,clear
2024-12-15,17.2,0.0,clear
2024-12-16,11.7,5.4,rain
2024-12-17,15.6,0.0,clear
2024-12-18,15.9,0.0,clear
2024-12-19,17.0,12.6,rain
2024-12-20,17.1,0.0,clear
2024-12-21,15.5,0.0,clear
2024-12-22,15.0,0.0,clear
2024-12-23,14.6,0.0,clear
2024-12-24,18.4,0.0,clear
2024-12-25,13.9,0.0,clear
2024-12-26,20.1,0.0,clear
2024-12-27,14.1,0.0,clear
2024-12-28,12.6,6.9,rain
2024-12-29,9.5,0.0,clear
2024-12-30,14.8,0.0,clear
2024-12-31,14.1,0.0,clear
2025-01-01,19.6,0.0,clear
2025-01-02,12.8,0.0,clear
2025-01-03,11.9,0.0,clear
2025-01-04,15.3,0.0,clear
2025-01-05,15.3,0.0,clear
2025-01-06,10.7,0.0,clear
2025-01-07,12.6,0.0,clear
2025-01-08,12.9,0.0,clear
2025-01-09,14.2,0.0,clear
2025-01-10,13.2,0.0,clear
2025-01-11,14.0,10.4,rain
2025-01-12,12.2,0.0,clear
2025-01-13,13.4,0.0,clear
2025-01-14,15.7,0.0,clear
2025-01-15,13.9,0.0,clear
2025-01-16,10.5,0.0,clear
2025-01-17,14.0,0.0,clear
2025-01-18,11.4,0.0,clear
2025-01-19,15.6,0.0,clear
2025-01-20,15.9,0.0,clear
2025-01-21,11.4,0.0,clear
2025-01-22,13.3,0.0,clear
2025-01-23,16.8,0.0,clear
2025-01-24,14.7,0.0,clear
2025-01-25,15.7,0.0,clear
2025-01-26,16.4,0.0,clear
2025-01-27,12.3,0.0,clear
2025-01-28,16.9,0.0,clear
2025-01-29,14.2,0.0,clear
2025-01-30,10.5,0.0,clear
2025-01-31,8.9,0.0,clear
2025-02-01,16.2,0.0,clear
2025-02-02,10.7,4.4,rain
2025-02-03,15.7,0.0,clear
2025-02-04,17.5,0.0,clear
2025-02-05,14.2,0.0,clear
2025-02-06,16.4,0.0,clear
2025-02-07,13.1,0.0,clear
2025-02-08,15.9,0.0,clear
2025-02-09,14.7,0.0,clear
2025-02-10,15.5,0.0,clear
2025-02-11,17.2,0.0,clear
2025-02-12,15.2,0.0,clear
2025-02-13,18.3,0.0,clear
2025-02-14,17.4,0.0,clear
2025-02-15,15.7,0.0,clear
2025-02-16,15.1,0.0,clear
2025-02-17,17.1,0.0,clear
2025-02-18,16.8,0.0,clear
2025-02-19,16.3,0.0,clear
2025-02-20,15.4,0.0,clear
2025-02-21,15.4,0.0,clear
2025-02-22,14.8,0.0,clear
2025-02-23,17.4,0.0,clear
2025-02-24,15.4,0.0,clear
2025-02-25,19.3,0.0,clear
2025-02-26,21.6,0.0,clear
2025-02-27,11.3,0.0,clear
2025-02-28,16.8,2.0,clear
2025-03-01,19.0,0.0,clear
2025-03-02,15.9,0.0,clear
2025-03-03,19.2,0.0,clear
2025-03-04,15.9,10.3,rain
2025-03-05,16.7,0.0,clear
2025-03-06,20.4,0.0,clear
2025-03-07,19.6,0.0,clear
2025-03-08,19.2,0.0,clear
2025-03-09,19.7,0.0,clear
2025-03-10,20.4,0.0,clear
2025-03-11,20.2,0.0,clear
2025-03-12,19.1,0.0,clear
2025-03-13,20.0,0.0,clear
2025-03-14,18.3,0.0,clear
2025-03-15,19.3,0.0,clear
2025-03-16,21.9,0.0,clear
2025-03-17,17.8,0.0,clear
2025-03-18,20.0,0.0,clear
2025-03-19,18.3,0.0,clear
2025-03-20,20.7,0.0,clear
2025-03-21,19.0,0.0,clear
2025-03-22,18.2,0.0,clear
2025-03-23,20.3,0.0,clear
2025-03-24,20.0,19.3,rain
2025-03-25,17.5,1.7,clear
2025-03-26,21.6,0.0,clear
2025-03-27,20.3,0.0,clear
2025-03-28,20.1,0.0,clear
2025-03-29,20.3,0.0,clear
2025-03-30,18.9,0.0,clear
2025-03-31,23.4,0.0,clear
2025-04-01,25.2,0.0,clear
2025-04-02,22.8,0.0,clear
2025-04-03,22.8,0.0,clear
2025-04-04,18.9,0.0,clear
2025-04-05,21.9,0.0,clear
2025-04-06,23.2,0.0,clear
2025-04-07,25.2,0.0,clear
2025-04-08,24.7,2.7,rain
2025-04-09,22.9,0.0,clear
2025-04-10,24.3,8.1,rain
2025-04-11,21.9,0.0,clear
2025-04-12,24.1,0.0,clear
2025-04-13,29.0,0.0,clear
2025-04-14,18.8,0.0,clear
2025-04-15,26.9,0.0,clear
2025-04-16,30.8,0.0,clear
2025-04-17,26.3,0.0,clear
2025-04-18,24.7,0.0,clear
2025-04-19,27.4,0.0,clear
2025-04-20,26.5,0.0,clear
2025-04-21,27.3,0.0,clear
2025-04-22,25.0,0.0,clear
2025-04-23,21.3,0.0,clear
2025-04-24,26.4,0.0,clear
2025-04-25,24.7,5.6,rain
2025-04-26,27.4,0.0,clear
2025-04-27,28.2,0.0,clear
2025-04-28,28.3,0.0,clear
2025-04-29,26.6,0.0,clear
2025-04-30,24.5,0.0,clear
2025-05-01,27.2,0.0,clear
2025-05-02,25.2,0.0,clear
2025-05-03,27.1,0.0,clear
2025-05-04,31.4,0.0,clear
2025-05-05,28.4,0.0,clear
2025-05-06,28.0,0.0,clear
2025-05-07,35.5,0.0,clear
2025-05-08,29.2,0.0,clear
2025-05-09,26.8,0.0,clear
2025-05-10,33.3,0.0,clear
2025-05-11,30.8,0.0,clear
2025-05-12,32.6,0.0,clear
2025-05-13,29.6,0.0,clear
2025-05-14,30.6,0.0,clear
2025-05-15,30.2,0.0,clear
2025-05-16,28.0,0.0,clear
2025-05-17,31.6,0.0,clear
2025-05-18,31.2,23.3,rain
2025-05-19,32.9,0.0,clear
2025-05-20,31.1,0.0,clear
2025-05-21,31.7,0.0,clear
2025-05-22,34.2,0.0,clear
2025-05-23,29.7,0.0,clear
2025-05-24,29.9,0.0,clear
2025-05-25,31.9,0.0,clear
2025-05-26,33.2,0.0,clear
2025-05-27,34.8,0.0,clear
2025-05-28,29.5,0.0,clear
2025-05-29,35.5,0.0,clear
2025-05-30,32.8,0.0,clear
2025-05-31,31.2,0.0,clear
2025-06-01,30.9,0.0,clear
2025-06-02,33.0,31.9,heavy_rain
2025-06-03,30.9,0.0,clear
2025-06-04,32.7,6.3,rain
2025-06-05,33.0,0.0,clear
2025-06-06,34.6,0.0,clear
2025-06-07,33.1,0.0,clear
2025-06-08,30.5,0.0,clear
2025-06-09,33.6,0.0,clear
2025-06-10,33.2,15.4,rain
2025-06-11,37.0,0.0,clear
2025-06-12,31.7,17.1,rain
2025-06-13,31.2,0.0,clear
2025-06-14,34.2,0.0,clear
2025-06-15,32.0,0.0,clear
2025-06-16,34.6,0.0,clear
2025-06-17,35.2,0.0,clear
2025-06-18,33.3,0.0,clear
2025-06-19,30.8,0.0,clear
2025-06-20,32.7,0.0,clear
2025-06-21,34.2,0.0,clear
2025-06-22,34.7,0.0,clear
2025-06-23,38.3,0.0,clear
2025-06-24,35.5,0.0,clear
2025-06-25,35.0,0.0,clear
2025-06-26,35.1,0.0,clear
2025-06-27,30.1,0.0,clear
2025-06-28,36.9,0.0,clear
2025-06-29,34.2,0.0,clear
2025-06-30,33.3,0.0,clear
2025-07-01,33.1,0.0,clear
2025-07-02,31.5,0.0,clear
2025-07-03,36.5,0.0,clear
2025-07-04,32.5,0.0,clear
2025-07-05,37.1,22.0,rain
2025-07-06,38.8,23.7,rain
2025-07-07,35.2,39.6,heavy_rain
2025-07-08,39.0,19.8,rain
2025-07-09,36.3,12.0,rain
2025-07-10,33.0,0.0,clear
2025-07-11,35.9,0.0,clear
2025-07-12,35.2,27.1,heavy_rain
2025-07-13,32.3,0.0,clear
2025-07-14,40.0,0.0,clear
2025-07-15,37.8,0.0,clear
2025-07-16,37.2,23.1,rain
2025-07-17,40.2,0.0,heatwave
2025-07-18,36.9,0.0,clear
2025-07-19,37.4,2.9,rain
2025-07-20,36.8,0.0,clear
2025-07-21,36.6,12.7,rain
2025-07-22,38.0,17.6,rain
2025-07-23,37.7,0.0,clear
2025-07-24,34.6,0.0,clear
2025-07-25,37.3,0.0,clear
2025-07-26,37.7,4.6,rain
2025-07-27,33.8,0.0,clear
2025-07-28,37.0,13.8,rain
2025-07-29,33.1,21.4,rain
2025-07-30,35.0,0.0,clear
2025-07-31,35.7,18.5,rain
2025-08-01,36.1,15.0,rain
2025-08-02,33.0,0.0,clear
2025-08-03,35.7,6.9,rain
2025-08-04,35.5,0.0,clear
2025-08-05,35.0,46.7,heavy_rain
2025-08-06,36.1,0.0,clear
2025-08-07,38.6,14.8,rain
2025-08-08,34.5,0.0,clear
2025-08-09,33.9,0.0,clear
2025-08-10,31.4,8.2,rain
2025-08-11,36.2,0.0,clear
2025-08-12,38.8,31.0,heavy_rain
2025-08-13,35.3,0.0,clear
2025-08-14,36.4,0.0,clear
2025-08-15,31.3,35.1,heavy_rain
2025-08-16,31.9,0.0,clear
2025-08-17,35.1,0.0,clear
2025-08-18,33.1,9.2,rain
2025-08-19,36.6,0.0,clear
2025-08-20,37.6,0.0,clear
2025-08-21,35.2,0.0,clear
2025-08-22,36.0,0.0,clear
2025-08-23,35.5,0.0,clear
2025-08-24,35.4,21.6,rain
2025-08-25,35.3,0.0,clear
2025-08-26,34.1,12.2,rain
2025-08-27,33.3,0.0,clear
2025-08-28,35.1,14.3,rain
2025-08-29,34.3,0.0,clear
2025-08-30,32.8,0.0,clear
2025-08-31,31.8,7.7,rain
2025-09-01,36.9,0.0,clear
2025-09-02,32.3,5.2,rain
2025-09-03,31.7,13.7,rain
2025-09-04,31.8,20.0,rain
2025-09-05,33.0,0.0,clear
2025-09-06,28.7,0.0,clear
2025-09-07,30.6,0.0,clear
2025-09-08,31.9,16.5,rain
2025-09-09,26.7,0.0,clear
2025-09-10,28.1,0.0,clear
2025-09-11,29.6,13.7,rain
2025-09-12,26.6,0.0,clear
2025-09-13,29.6,0.0,clear
2025-09-14,26.6,0.0,clear
2025-09-15,28.7,0.0,clear
2025-09-16,30.9,0.0,clear
2025-09-17,26.9,0.0,clear
2025-09-18,31.9,0.0,clear
2025-09-19,29.9,0.0,clear
2025-09-20,32.0,0.0,clear
2025-09-21,26.8,0.0,clear
2025-09-22,31.2,0.0,clear
2025-09-23,27.0,0.0,clear
2025-09-24,25.9,0.0,clear
2025-09-25,29.5,0.0,clear
2025-09-26,28.6,0.0,clear
2025-09-27,29.5,0.0,clear
2025-09-28,23.2,0.0,clear
2025-09-29,25.7,0.0,clear
2025-09-30,26.7,0.0,clear
2025-10-01,25.1,0.0,clear
2025-10-02,24.4,0.0,clear
2025-10-03,28.8,0.0,clear
2025-10-04,26.7,0.0,clear
2025-10-05,27.1,0.0,clear
2025-10-06,25.7,0.0,clear
2025-10-07,28.3,0.0,clear
2025-10-08,27.1,4.9,rain
2025-10-09,27.4,0.0,clear
2025-10-10,25.1,0.0,clear
2025-10-11,27.3,0.0,clear
2025-10-12,28.2,0.0,clear
2025-10-13,24.5,0.0,clear
2025-10-14,24.1,0.0,clear
2025-10-15,26.1,0.0,clear
2025-10-16,26.1,0.0,clear
2025-10-17,21.9,0.0,clear
2025-10-18,25.4,0.0,clear
2025-10-19,30.0,0.0,clear
2025-10-20,25.9,0.0,clear
2025-10-21,20.3,0.0,clear
2025-10-22,22.7,0.0,clear
2025-10-23,23.3,0.0,clear
2025-10-24,24.5,0.0,clear
2025-10-25,21.9,0.0,clear
2025-10-26,21.8,9.4,rain
2025-10-27,22.6,0.0,clear
2025-10-28,20.9,0.0,clear
2025-10-29,20.2,0.0,clear
2025-10-30,22.6,0.0,clear
2025-10-31,18.9,0.0,clear
2025-11-01,25.8,18.3,rain
2025-11-02,17.6,0.0,clear
2025-11-03,24.2,0.0,clear
2025-11-04,24.6,35.5,heavy_rain
2025-11-05,21.6,0.0,clear
2025-11-06,21.1,0.0,clear
2025-11-07,21.9,0.0,clear
2025-11-08,21.0,0.0,clear
2025-11-09,18.5,0.0,clear
2025-11-10,20.7,0.0,clear
2025-11-11,18.9,0.0,clear
2025-11-12,20.7,0.0,clear
2025-11-13,16.7,0.0,clear
2025-11-14,20.5,0.0,clear
2025-11-15,18.3,0.0,clear
2025-11-16,19.2,0.0,clear
2025-11-17,16.8,0.0,clear
2025-11-18,18.9,0.0,clear
2025-11-19,20.5,0.0,clear
2025-11-20,21.0,0.0,clear
2025-11-21,19.5,0.0,clear
2025-11-22,15.7,0.0,clear
2025-11-23,18.3,13.3,rain
2025-11-24,16.0,0.0,clear
2025-11-25,15.8,0.0,clear
2025-11-26,14.2,0.0,clear
2025-11-27,18.5,0.0,clear
2025-11-28,17.3,0.0,clear
2025-11-29,20.4,0.0,clear
2025-11-30,17.8,0.0,clear
2025-12-01,14.1,0.0,clear
2025-12-02,22.5,0.0,clear
2025-12-03,17.3,0.0,clear
2025-12-04,16.4,0.0,clear
2025-12-05,14.3,0.0,clear
2025-12-06,20.2,0.0,clear
2025-12-07,12.7,0.0,clear
2025-12-08,15.7,0.0,clear
2025-12-09,13.7,0.0,clear
2025-12-10,17.4,0.0,clear
2025-12-11,17.0,0.0,clear
2025-12-12,13.9,0.0,clear
2025-12-13,9.8,0.0,clear
2025-12-14,15.4,0.0,clear
2025-12-15,14.6,0.0,clear
2025-12-16,17.1,0.0,clear
2025-12-17,12.8,9.7,rain
2025-12-18,14.5,0.0,clear
2025-12-19,10.7,5.6,rain
2025-12-20,15.3,0.0,clear
2025-12-21,17.7,0.0,clear
2025-12-22,13.5,0.0,clear
2025-12-23,17.4,0.0,clear
2025-12-24,13.2,0.0,clear
2025-12-25,13.7,0.0,clear
2025-12-26,11.8,0.0,clear
2025-12-27,13.4,0.0,clear
2025-12-28,12.4,0.0,clear
2025-12-29,14.7,0.0,clear
2025-12-30,15.0,0.0,clear
2025-12-31,13.2,0.0,clear
